training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,73,0.1621,0,0,0
0,74,0.1617,0,0,0
0,75,0.1609,0,0,0
0,76,0.1631,0,0,0
0,77,0.1602,0,0,0
0,78,0.1608,0,0,0
0,79,0.1616,0,0,0
0,80,0.1627,0,0,0
0,81,0.1644,0,0,0
0,82,0.1622,0,0,0
0,83,0.1628,0,0,0
0,84,0.1614,0,0,0
0,85,0.1669,0,0,0
0,86,0.1652,0,0,0
0,87,0.1649,0,0,0
0,88,0.1631,0,0,0
0,89,0.1588,0,0,0
0,90,0.1671,0,0,0
0,91,0.1641,0,0,0
0,92,0.1612,0,0,0
0,93,0.1654,0,0,0
0,94,0.1658,0,0,0
0,95,0.1623,0,0,0
0,96,0.1646,0,0,0
0,97,0.1634,0,0,0
0,98,0.1631,0,0,0
0,99,0.1648,0,0,0
0,100,0.1635,0,0,0
0,101,0.1644,0,0,0
0,102,0.1660,0,0,0
0,103,0.1625,0,0,0
0,104,0.1604,0,0,0
0,105,0.1694,0,0,0
0,106,0.1632,0,0,0
0,107,0.1636,0,0,0
0,108,0.1596,0,0,0
0,109,0.1625,0,0,0
0,110,0.1698,0,0,0
0,111,0.1661,0,0,0
0,112,0.1644,0,0,0
0,113,0.1639,0,0,0
0,114,0.1578,0,0,0
0,115,0.1656,0,0,0
0,116,0.1644,0,0,0
0,117,0.1610,0,0,0
0,118,0.1628,0,0,0
0,119,0.1641,0,0,0
1,0,0.0054,0,0,0
1,1,0.0055,0,0,0
1,2,0.0054,0,0,0
1,3,0.0046,0,0,0
1,4,0.0050,0,0,0
1,5,0.0054,0,0,0
1,6,0.0054,0,0,0
1,7,0.0032,0,0,0
1,8,0.0040,0,0,0
1,9,0.0044,0,0,0
1,10,0.0060,0,0,0
1,11,0.0046,0,0,0
1,12,0.0045,0,0,0
1,13,0.0049,0,0,0
1,14,0.0039,0,0,0
1,15,0.0055,0,0,0
1,16,0.0043,0,0,0
1,17,0.0044,0,0,0
1,18,0.0054,0,0,0
1,19,0.0051,0,0,0
1,20,0.0057,0,0,0
1,21,0.0050,0,0,0
1,22,0.0055,0,0,0
1,23,0.0045,0,0,0
1,24,0.0048,0,0,0
1,25,0.0066,0,0,0
1,26,0.0046,0,0,0
1,27,0.0049,0,0,0
1,28,0.0050,0,0,0
1,29,0.0056,0,0,0
1,30,0.0048,0,0,0
1,31,0.0046,0,0,0
1,32,0.0050,0,0,0
1,33,0.0048,0,0,0
1,34,0.0048,0,0,0
1,35,0.0048,0,0,0
1,36,0.0041,0,0,0
1,37,0.0050,0,0,0
1,38,0.0049,0,0,0
1,39,0.0051,0,0,0
1,40,0.0044,0,0,0
1,41,0.0043,0,0,0
1,42,0.0043,0,0,0
1,43,0.0045,0,0,0
1,44,0.0041,0,0,0
1,45,0.0045,0,0,0
1,46,0.0051,0,0,0
1,47,0.0048,0,0,0
1,48,0.0054,0,0,0
1,49,0.0053,0,0,0
1,50,0.0055,0,0,0
1,51,0.0041,0,0,0
1,52,0.0046,0,0,0
1,53,0.0046,0,0,0
1,54,0.0040,0,0,0
1,55,0.0056,0,0,0
1,56,0.0043,0,0,0
1,57,0.0058,0,0,0
1,58,0.0044,0,0,0
1,59,0.0054,0,0,0
1,60,0.0047,0,0,0
1,61,0.0043,0,0,0
1,62,0.0044,0,0,0
1,63,0.0043,0,0,0
1,64,0.0050,0,0,0
1,65,0.0046,0,0,0
1,66,0.0048,0,0,0
1,67,0.0047,0,0,0
1,68,0.0059,0,0,0
1,69,0.0040,0,0,0
1,70,0.0054,0,0,0
1,71,0.0054,0,0,0
1,72,0.0049,0,0,0
1,73,0.0043,0,0,0
1,74,0.0048,0,0,0
1,75,0.0046,0,0,0
1,76,0.0057,0,0,0
1,77,0.0043,0,0,0
1,78,0.0057,0,0,0
1,79,0.0043,0,0,0
1,80,0.0047,0,0,0
1,81,0.0045,0,0,0
1,82,0.0046,0,0,0
1,83,0.0059,0,0,0
1,84,0.0061,0,0,0
1,85,0.0049,0,0,0
1,86,0.0052,0,0,0
1,87,0.0051,0,0,0
1,88,0.0048,0,0,0
1,89,0.0048,0,0,0
1,90,0.0052,0,0,0
1,91,0.0044,0,0,0
1,92,0.0049,0,0,0
1,93,0.0054,0,0,0
1,94,0.0053,0,0,0
1,95,0.0049,0,0,0
1,96,0.0059,0,0,0
1,97,0.0041,0,0,0
1,98,0.0054,0,0,0
1,99,0.0060,0,0,0
1,100,0.0048,0,0,0
1,101,0.0060,0,0,0
1,102,0.0050,0,0,0
1,103,0.0050,0,0,0
1,104,0.0048,0,0,0
1,105,0.0046,0,0,0
1,106,0.0050,0,0,0
1,107,0.0048,0,0,0
1,108,0.0036,0,0,0
1,109,0.0048,0,0,0
1,110,0.0051,0,0,0
1,111,0.0053,0,0,0
1,112,0.0054,0,0,0
1,113,0.0051,0,0,0
1,114,0.0050,0,0,0
1,115,0.0058,0,0,0
1,116,0.0061,0,0,0
1,117,0.0044,0,0,0
1,118,0.0051,0,0,0
1,119,0.0063,0,0,0
2,0,0.0737,0,0,0
2,1,0.0737,0,0,0
2,2,0.0699,0,0,0
2,3,0.0725,0,0,0
2,4,0.0707,0,0,0
2,5,0.0718,0,0,0
2,6,0.0735,0,0,0
2,7,0.0696,0,0,0
2,8,0.0702,0,0,0
2,9,0.0730,0,0,0
2,10,0.0708,0,0,0
2,11,0.0723,0,0,0
2,12,0.0712,0,0,0
2,13,0.0701,0,0,0
2,14,0.0709,0,0,0
2,15,0.0685,0,0,0
2,16,0.0693,0,0,0
2,17,0.0688,0,0,0
2,18,0.0705,0,0,0
2,19,0.0745,0,0,0
2,20,0.0703,0,0,0
2,21,0.0718,0,0,0
2,22,0.0702,0,0,0
2,23,0.0707,0,0,0
2,24,0.0716,0,0,0
2,25,0.0679,0,0,0
2,26,0.0723,0,0,0
2,27,0.0744,0,0,0
2,28,0.0696,0,0,0
2,29,0.0718,0,0,0
2,30,0.0726,0,0,0
2,31,0.0732,0,0,0
2,32,0.0698,0,0,0
2,33,0.0709,0,0,0
2,34,0.0716,0,0,0
2,35,0.0714,0,0,0
2,36,0.0699,0,0,0
2,37,0.0715,0,0,0
2,38,0.0706,0,0,0
2,39,0.0721,0,0,0
2,40,0.0700,0,0,0
2,41,0.0686,0,0,0
2,42,0.0710,0,0,0
2,43,0.0693,0,0,0
2,44,0.0697,0,0,0
2,45,0.0726,0,0,0
2,46,0.0691,0,0,0
2,47,0.0712,0,0,0
2,48,0.0690,0,0,0
2,49,0.0737,0,0,0
2,50,0.0695,0,0,0
2,51,0.0715,0,0,0
2,52,0.0734,0,0,0
2,53,0.0696,0,0,0
2,54,0.0707,0,0,0
2,55,0.0704,0,0,0
2,56,0.0737,0,0,0
2,57,0.0668,0,0,0
2,58,0.0673,0,0,0
2,59,0.0744,0,0,0
2,60,0.0733,0,0,0
2,61,0.0769,0,0,0
2,62,0.0713,0,0,0
2,63,0.0750,0,0,0
2,64,0.0698,0,0,0
2,65,0.0706,0,0,0
2,66,0.0714,0,0,0
2,67,0.0713,0,0,0
2,68,0.0678,0,0,0
2,69,0.0735,0,0,0
2,70,0.0701,0,0,0
2,71,0.0698,0,0,0
2,72,0.0667,0,0,0
2,73,0.0687,0,0,0
2,74,0.0694,0,0,0
2,75,0.0713,0,0,0
2,76,0.0690,0,0,0
2,77,0.0734,0,0,0
2,78,0.0723,0,0,0
2,79,0.0731,0,0,0
2,80,0.0705,0,0,0
2,81,0.0721,0,0,0
2,82,0.0731,0,0,0
2,83,0.0714,0,0,0
2,84,0.0708,0,0,0
2,85,0.0706,0,0,0
2,86,0.0739,0,0,0
2,87,0.0719,0,0,0
2,88,0.0681,0,0,0
2,89,0.0693,0,0,0
2,90,0.0718,0,0,0
2,91,0.0710,0,0,0
2,92,0.0699,0,0,0
2,93,0.0731,0,0,0
2,94,0.0713,0,0,0
2,95,0.0699,0,0,0
2,96,0.0733,0,0,0
2,97,0.0736,0,0,0
2,98,0.0727,0,0,0
2,99,0.0712,0,0,0
2,100,0.0697,0,0,0
2,101,0.0726,0,0,0
2,102,0.0739,0,0,0
2,103,0.0732,0,0,0
2,104,0.0726,0,0,0
2,105,0.0719,0,0,0
2,106,0.0663,0,0,0
2,107,0.0701,0,0,0
2,108,0.0700,0,0,0
2,109,0.0731,0,0,0
2,110,0.0691,0,0,0
2,111,0.0710,0,0,0
2,112,0.0707,0,0,0
2,113,0.0731,0,0,0
2,114,0.0718,0,0,0
2,115,0.0708,0,0,0
2,116,0.0686,0,0,0
2,117,0.0706,0,0,0
2,118,0.0710,0,0,0
2,119,0.0731,0,0,0
3,0,0.2322,0,0,0
3,1,0.2297,0,0,0
3,2,0.2303,0,0,0
3,3,0.2368,0,0,0
3,4,0.2352,0,0,0
3,5,0.2301,0,0,0
3,6,0.2324,0,0,0
3,7,0.2353,0,0,0
3,8,0.2344,0,0,0
3,9,0.2364,0,0,0
3,10,0.2295,0,0,0
3,11,0.2308,0,0,0
3,12,0.2363,0,0,0
3,13,0.2351,0,0,0
3,14,0.2377,0,0,0
3,15,0.2294,0,0,0
3,16,0.2374,0,0,0
3,17,0.2362,0,0,0
3,18,0.2369,0,0,0
3,19,0.2330,0,0,0
3,20,0.2349,0,0,0
3,21,0.2326,0,0,0
3,22,0.2347,0,0,0
3,23,0.2308,0,0,0
3,24,0.2376,0,0,0
3,25,0.2381,0,0,0
3,26,0.2299,0,0,0
3,27,0.2312,0,0,0
3,28,0.2337,0,0,0
3,29,0.2310,0,0,0
3,30,0.2346,0,0,0
3,31,0.2293,0,0,0
3,32,0.2397,0,0,0
3,33,0.2344,0,0,0
3,34,0.2352,0,0,0
3,35,0.2348,0,0,0
3,36,0.2355,0,0,0
3,37,0.2307,0,0,0
3,38,0.2346,0,0,0
3,39,0.2317,0,0,0
3,40,0.2376,0,0,0
3,41,0.2337,0,0,0
3,42,0.2341,0,0,0
3,43,0.2319,0,0,0
3,44,0.2371,0,0,0
3,45,0.2340,0,0,0
3,46,0.2369,0,0,0
3,47,0.2354,0,0,0
3,48,0.2379,0,0,0
3,49,0.2348,0,0,0
3,50,0.2341,0,0,0
3,51,0.2286,0,0,0
3,52,0.2298,0,0,0
3,53,0.2336,0,0,0
3,54,0.2321,0,0,0
3,55,0.2367,0,0,0
3,56,0.2340,0,0,0
3,57,0.2361,0,0,0
3,58,0.2340,0,0,0
3,59,0.2367,0,0,0
3,60,0.2326,0,0,0
3,61,0.2345,0,0,0
3,62,0.2378,0,0,0
3,63,0.2352,0,0,0
3,64,0.2301,0,0,0
3,65,0.2351,0,0,0
3,66,0.2347,0,0,0
3,67,0.2380,0,0,0
3,68,0.2381,0,0,0
3,69,0.2363,0,0,0
3,70,0.2302,0,0,0
3,71,0.2343,0,0,0
3,72,0.2354,0,0,0
3,73,0.2365,0,0,0
3,74,0.2313,0,0,0
3,75,0.2336,0,0,0
3,76,0.2291,0,0,0
3,77,0.2358,0,0,0
3,78,0.2370,0,0,0
3,79,0.2357,0,0,0
3,80,0.2385,0,0,0
3,81,0.2362,0,0,0
3,82,0.2311,0,0,0
3,83,0.2319,0,0,0
3,84,0.2367,0,0,0
3,85,0.2313,0,0,0
3,86,0.2319,0,0,0
3,87,0.2325,0,0,0
3,88,0.2349,0,0,0
3,89,0.2354,0,0,0
3,90,0.2315,0,0,0
3,91,0.2298,0,0,0
3,92,0.2360,0,0,0
3,93,0.2385,0,0,0
3,94,0.2347,0,0,0
3,95,0.2350,0,0,0
3,96,0.2341,0,0,0
3,97,0.2351,0,0,0
3,98,0.2377,0,0,0
3,99,0.2307,0,0,0
3,100,0.2334,0,0,0
3,101,0.2349,0,0,0
3,102,0.2279,0,0,0
3,103,0.2336,0,0,0
3,104,0.2319,0,0,0
3,105,0.2305,0,0,0
3,106,0.2353,0,0,0
3,107,0.2365,0,0,0
3,108,0.2350,0,0,0
3,109,0.2297,0,0,0
3,110,0.2350,0,0,0
3,111,0.2322,0,0,0
3,112,0.2282,0,0,0
3,113,0.2358,0,0,0
3,114,0.2325,0,0,0
3,115,0.2347,0,0,0
3,116,0.2280,0,0,0
3,117,0.2363,0,0,0
3,118,0.2374,0,0,0
3,119,0.2341,0,0,0
4,0,0.1018,0,0,0
4,1,0.1043,0,0,0
4,2,0.1038,0,0,0
4,3,0.1060,0,0,0
4,4,0.1018,0,0,0
4,5,0.1022,0,0,0
4,6,0.1036,0,0,0
4,7,0.1012,0,0,0
4,8,0.1024,0,0,0
4,9,0.1034,0,0,0
4,10,0.1017,0,0,0
4,11,0.1043,0,0,0
4,12,0.1007,0,0,0
4,13,0.1007,0,0,0
4,14,0.1010,0,0,0
4,15,0.1011,0,0,0
4,16,0.1020,0,0,0
4,17,0.1046,0,0,0
4,18,0.0994,0,0,0
4,19,0.1020,0,0,0
4,20,0.1004,0,0,0
4,21,0.0995,0,0,0
4,22,0.1025,0,0,0
4,23,0.1036,0,0,0
4,24,0.1023,0,0,0
4,25,0.1029,0,0,0
4,26,0.1032,0,0,0
4,27,0.1044,0,0,0
4,28,0.1028,0,0,0
4,29,0.1015,0,0,0
4,30,0.1022,0,0,0
4,31,0.1048,0,0,0
4,32,0.1038,0,0,0
4,33,0.1043,0,0,0
4,34,0.1032,0,0,0
4,35,0.1047,0,0,0
4,36,0.1055,0,0,0
4,37,0.1022,0,0,0
4,38,0.1023,0,0,0
4,39,0.1021,0,0,0
4,40,0.1018,0,0,0
4,41,0.1023,0,0,0
4,42,0.1017,0,0,0
4,43,0.1022,0,0,0
4,44,0.1010,0,0,0
4,45,0.1034,0,0,0
4,46,0.1037,0,0,0
4,47,0.1059,0,0,0
4,48,0.1032,0,0,0
4,49,0.1040,0,0,0
4,50,0.0998,0,0,0
4,51,0.1032,0,0,0
4,52,0.1019,0,0,0
4,53,0.1029,0,0,0
4,54,0.1018,0,0,0
4,55,0.1008,0,0,0
4,56,0.1020,0,0,0
4,57,0.0991,0,0,0
4,58,0.1052,0,0,0
4,59,0.1042,0,0,0
4,60,0.1004,0,0,0
4,61,0.1017,0,0,0
4,62,0.0986,0,0,0
4,63,0.1012,0,0,0
4,64,0.1028,0,0,0
4,65,0.0998,0,0,0
4,66,0.1034,0,0,0
4,67,0.1019,0,0,0
4,68,0.1021,0,0,0
4,69,0.1038,0,0,0
4,70,0.1038,0,0,0
4,71,0.1028,0,0,0
4,72,0.1018,0,0,0
4,73,0.0993,0,0,0
4,74,0.1006,0,0,0
4,75,0.1038,0,0,0
4,76,0.1007,0,0,0
4,77,0.1029,0,0,0
4,78,0.1039,0,0,0
4,79,0.1028,0,0,0
4,80,0.1023,0,0,0
4,81,0.1024,0,0,0
4,82,0.1019,0,0,0
4,83,0.1030,0,0,0
4,84,0.1041,0,0,0
4,85,0.1012,0,0,0
4,86,0.1013,0,0,0
4,87,0.1058,0,0,0
4,88,0.1022,0,0,0
4,89,0.1013,0,0,0
4,90,0.1007,0,0,0
4,91,0.1030,0,0,0
4,92,0.1008,0,0,0
4,93,0.1009,0,0,0
4,94,0.1018,0,0,0
4,95,0.1011,0,0,0
4,96,0.0991,0,0,0
4,97,0.1012,0,0,0
4,98,0.1048,0,0,0
4,99,0.1004,0,0,0
4,100,0.1040,0,0,0
4,101,0.1034,0,0,0
4,102,0.1059,0,0,0
4,103,0.1020,0,0,0
4,104,0.1050,0,0,0
4,105,0.1055,0,0,0
4,106,0.1038,0,0,0
4,107,0.1020,0,0,0
4,108,0.1035,0,0,0
4,109,0.1027,0,0,0
4,110,0.1019,0,0,0
4,111,0.1047,0,0,0
4,112,0.1039,0,0,0
4,113,0.1026,0,0,0
4,114,0.1018,0,0,0
4,115,0.1043,0,0,0
4,116,0.1005,0,0,0
4,117,0.0989,0,0,0
4,118,0.1025,0,0,0
4,119,0.1037,0,0,0
