training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
1,50,0.0518,0,0,0
1,51,0.0502,0,0,0
1,52,0.0504,0,0,0
1,53,0.0531,0,0,0
1,54,0.0504,0,0,0
1,55,0.0505,0,0,0
1,56,0.0497,0,0,0
1,57,0.0479,0,0,0
1,58,0.0496,0,0,0
1,59,0.0510,0,0,0
1,60,0.0447,0,0,0
1,61,0.0507,0,0,0
1,62,0.0484,0,0,0
1,63,0.0522,0,0,0
1,64,0.0496,0,0,0
1,65,0.0500,0,0,0
1,66,0.0487,0,0,0
1,67,0.0505,0,0,0
1,68,0.0537,0,0,0
1,69,0.0478,0,0,0
1,70,0.0474,0,0,0
1,71,0.0499,0,0,0
1,72,0.0514,0,0,0
1,73,0.0483,0,0,0
1,74,0.0469,0,0,0
1,75,0.0499,0,0,0
1,76,0.0505,0,0,0
1,77,0.0483,0,0,0
1,78,0.0483,0,0,0
1,79,0.0505,0,0,0
1,80,0.0498,0,0,0
1,81,0.0514,0,0,0
1,82,0.0456,0,0,0
1,83,0.0527,0,0,0
1,84,0.0495,0,0,0
1,85,0.0467,0,0,0
1,86,0.0504,0,0,0
1,87,0.0506,0,0,0
1,88,0.0482,0,0,0
1,89,0.0480,0,0,0
1,90,0.0525,0,0,0
1,91,0.0516,0,0,0
1,92,0.0491,0,0,0
1,93,0.0475,0,0,0
1,94,0.0474,0,0,0
1,95,0.0492,0,0,0
1,96,0.0481,0,0,0
1,97,0.0491,0,0,0
1,98,0.0494,0,0,0
1,99,0.0508,0,0,0
1,100,0.0487,0,0,0
1,101,0.0491,0,0,0
1,102,0.0490,0,0,0
1,103,0.0498,0,0,0
1,104,0.0507,0,0,0
1,105,0.0484,0,0,0
1,106,0.0508,0,0,0
1,107,0.0481,0,0,0
1,108,0.0478,0,0,0
1,109,0.0488,0,0,0
1,110,0.0523,0,0,0
1,111,0.0500,0,0,0
1,112,0.0505,0,0,0
1,113,0.0488,0,0,0
1,114,0.0463,0,0,0
1,115,0.0518,0,0,0
1,116,0.0505,0,0,0
1,117,0.0499,0,0,0
1,118,0.0496,0,0,0
1,119,0.0489,0,0,0
2,0,0.0397,0,0,0
2,1,0.0391,0,0,0
2,2,0.0387,0,0,0
2,3,0.0394,0,0,0
2,4,0.0397,0,0,0
2,5,0.0433,0,0,0
2,6,0.0377,0,0,0
2,7,0.0421,0,0,0
2,8,0.0379,0,0,0
2,9,0.0391,0,0,0
2,10,0.0391,0,0,0
2,11,0.0424,0,0,0
2,12,0.0401,0,0,0
2,13,0.0400,0,0,0
2,14,0.0389,0,0,0
2,15,0.0420,0,0,0
2,16,0.0436,0,0,0
2,17,0.0402,0,0,0
2,18,0.0407,0,0,0
2,19,0.0414,0,0,0
2,20,0.0390,0,0,0
2,21,0.0414,0,0,0
2,22,0.0398,0,0,0
2,23,0.0395,0,0,0
2,24,0.0408,0,0,0
2,25,0.0391,0,0,0
2,26,0.0397,0,0,0
2,27,0.0412,0,0,0
2,28,0.0399,0,0,0
2,29,0.0381,0,0,0
2,30,0.0397,0,0,0
2,31,0.0400,0,0,0
2,32,0.0403,0,0,0
2,33,0.0402,0,0,0
2,34,0.0415,0,0,0
2,35,0.0396,0,0,0
2,36,0.0407,0,0,0
2,37,0.0400,0,0,0
2,38,0.0402,0,0,0
2,39,0.0413,0,0,0
2,40,0.0424,0,0,0
2,41,0.0400,0,0,0
2,42,0.0390,0,0,0
2,43,0.0404,0,0,0
2,44,0.0402,0,0,0
2,45,0.0390,0,0,0
2,46,0.0423,0,0,0
2,47,0.0395,0,0,0
2,48,0.0384,0,0,0
2,49,0.0387,0,0,0
2,50,0.0365,0,0,0
2,51,0.0428,0,0,0
2,52,0.0410,0,0,0
2,53,0.0397,0,0,0
2,54,0.0403,0,0,0
2,55,0.0375,0,0,0
2,56,0.0392,0,0,0
2,57,0.0406,0,0,0
2,58,0.0398,0,0,0
2,59,0.0432,0,0,0
2,60,0.0385,0,0,0
2,61,0.0404,0,0,0
2,62,0.0407,0,0,0
2,63,0.0360,0,0,0
2,64,0.0419,0,0,0
2,65,0.0393,0,0,0
2,66,0.0382,0,0,0
2,67,0.0381,0,0,0
2,68,0.0381,0,0,0
2,69,0.0420,0,0,0
2,70,0.0389,0,0,0
2,71,0.0376,0,0,0
2,72,0.0416,0,0,0
2,73,0.0413,0,0,0
2,74,0.0403,0,0,0
2,75,0.0386,0,0,0
2,76,0.0411,0,0,0
2,77,0.0415,0,0,0
2,78,0.0392,0,0,0
2,79,0.0402,0,0,0
2,80,0.0367,0,0,0
2,81,0.0395,0,0,0
2,82,0.0389,0,0,0
2,83,0.0387,0,0,0
2,84,0.0420,0,0,0
2,85,0.0409,0,0,0
2,86,0.0385,0,0,0
2,87,0.0404,0,0,0
2,88,0.0408,0,0,0
2,89,0.0387,0,0,0
2,90,0.0388,0,0,0
2,91,0.0409,0,0,0
2,92,0.0386,0,0,0
2,93,0.0393,0,0,0
2,94,0.0401,0,0,0
2,95,0.0385,0,0,0
2,96,0.0390,0,0,0
2,97,0.0394,0,0,0
2,98,0.0387,0,0,0
2,99,0.0425,0,0,0
2,100,0.0401,0,0,0
2,101,0.0415,0,0,0
2,102,0.0402,0,0,0
2,103,0.0416,0,0,0
2,104,0.0384,0,0,0
2,105,0.0377,0,0,0
2,106,0.0415,0,0,0
2,107,0.0392,0,0,0
2,108,0.0434,0,0,0
2,109,0.0387,0,0,0
2,110,0.0392,0,0,0
2,111,0.0424,0,0,0
2,112,0.0410,0,0,0
2,113,0.0392,0,0,0
2,114,0.0382,0,0,0
2,115,0.0397,0,0,0
2,116,0.0402,0,0,0
2,117,0.0422,0,0,0
2,118,0.0398,0,0,0
2,119,0.0408,0,0,0
3,0,0.0023,0,0,0
3,1,0.0022,0,0,0
3,2,0.0024,0,0,0
3,3,0.0018,0,0,0
3,4,0.0020,0,0,0
3,5,0.0024,0,0,0
3,6,0.0013,0,0,0
3,7,0.0017,0,0,0
3,8,0.0029,0,0,0
3,9,0.0019,0,0,0
3,10,0.0018,0,0,0
3,11,0.0024,0,0,0
3,12,0.0014,0,0,0
3,13,0.0016,0,0,0
3,14,0.0018,0,0,0
3,15,0.0013,0,0,0
3,16,0.0018,0,0,0
3,17,0.0015,0,0,0
3,18,0.0014,0,0,0
3,19,0.0018,0,0,0
3,20,0.0024,0,0,0
3,21,0.0012,0,0,0
3,22,0.0016,0,0,0
3,23,0.0016,0,0,0
3,24,0.0018,0,0,0
3,25,0.0019,0,0,0
3,26,0.0018,0,0,0
3,27,0.0013,0,0,0
3,28,0.0016,0,0,0
3,29,0.0024,0,0,0
3,30,0.0022,0,0,0
3,31,0.0018,0,0,0
3,32,0.0023,0,0,0
3,33,0.0023,0,0,0
3,34,0.0015,0,0,0
3,35,0.0016,0,0,0
3,36,0.0020,0,0,0
3,37,0.0026,0,0,0
3,38,0.0019,0,0,0
3,39,0.0012,0,0,0
3,40,0.0015,0,0,0
3,41,0.0011,0,0,0
3,42,0.0019,0,0,0
3,43,0.0021,0,0,0
3,44,0.0021,0,0,0
3,45,0.0018,0,0,0
3,46,0.0018,0,0,0
3,47,0.0016,0,0,0
3,48,0.0020,0,0,0
3,49,0.0018,0,0,0
3,50,0.0015,0,0,0
3,51,0.0018,0,0,0
3,52,0.0013,0,0,0
3,53,0.0020,0,0,0
3,54,0.0019,0,0,0
3,55,0.0017,0,0,0
3,56,0.0020,0,0,0
3,57,0.0020,0,0,0
3,58,0.0013,0,0,0
3,59,0.0014,0,0,0
3,60,0.0024,0,0,0
3,61,0.0012,0,0,0
3,62,0.0025,0,0,0
3,63,0.0027,0,0,0
3,64,0.0015,0,0,0
3,65,0.0021,0,0,0
3,66,0.0016,0,0,0
3,67,0.0017,0,0,0
3,68,0.0018,0,0,0
3,69,0.0029,0,0,0
3,70,0.0024,0,0,0
3,71,0.0025,0,0,0
3,72,0.0021,0,0,0
3,73,0.0023,0,0,0
3,74,0.0015,0,0,0
3,75,0.0019,0,0,0
3,76,0.0019,0,0,0
3,77,0.0024,0,0,0
3,78,0.0022,0,0,0
3,79,0.0024,0,0,0
3,80,0.0015,0,0,0
3,81,0.0020,0,0,0
3,82,0.0015,0,0,0
3,83,0.0022,0,0,0
3,84,0.0015,0,0,0
3,85,0.0020,0,0,0
3,86,0.0017,0,0,0
3,87,0.0015,0,0,0
3,88,0.0017,0,0,0
3,89,0.0017,0,0,0
3,90,0.0022,0,0,0
3,91,0.0019,0,0,0
3,92,0.0014,0,0,0
3,93,0.0016,0,0,0
3,94,0.0019,0,0,0
3,95,0.0021,0,0,0
3,96,0.0018,0,0,0
3,97,0.0019,0,0,0
3,98,0.0019,0,0,0
3,99,0.0014,0,0,0
3,100,0.0027,0,0,0
3,101,0.0024,0,0,0
3,102,0.0024,0,0,0
3,103,0.0015,0,0,0
3,104,0.0019,0,0,0
3,105,0.0019,0,0,0
3,106,0.0018,0,0,0
3,107,0.0018,0,0,0
3,108,0.0018,0,0,0
3,109,0.0013,0,0,0
3,110,0.0018,0,0,0
3,111,0.0012,0,0,0
3,112,0.0017,0,0,0
3,113,0.0018,0,0,0
3,114,0.0013,0,0,0
3,115,0.0022,0,0,0
3,116,0.0023,0,0,0
3,117,0.0026,0,0,0
3,118,0.0021,0,0,0
3,119,0.0012,0,0,0
4,0,0.0855,0,0,0
4,1,0.0845,0,0,0
4,2,0.0851,0,0,0
4,3,0.0869,0,0,0
4,4,0.0860,0,0,0
4,5,0.0853,0,0,0
4,6,0.0849,0,0,0
4,7,0.0850,0,0,0
4,8,0.0886,0,0,0
4,9,0.0843,0,0,0
4,10,0.0907,0,0,0
4,11,0.0830,0,0,0
4,12,0.0884,0,0,0
4,13,0.0860,0,0,0
4,14,0.0828,0,0,0
4,15,0.0840,0,0,0
4,16,0.0859,0,0,0
4,17,0.0865,0,0,0
4,18,0.0875,0,0,0
4,19,0.0835,0,0,0
4,20,0.0845,0,0,0
4,21,0.0864,0,0,0
4,22,0.0863,0,0,0
4,23,0.0835,0,0,0
4,24,0.0850,0,0,0
4,25,0.0847,0,0,0
4,26,0.0869,0,0,0
4,27,0.0861,0,0,0
4,28,0.0854,0,0,0
4,29,0.0853,0,0,0
4,30,0.0879,0,0,0
4,31,0.0865,0,0,0
4,32,0.0850,0,0,0
4,33,0.0840,0,0,0
4,34,0.0904,0,0,0
4,35,0.0887,0,0,0
4,36,0.0843,0,0,0
4,37,0.0864,0,0,0
4,38,0.0859,0,0,0
4,39,0.0904,0,0,0
4,40,0.0924,0,0,0
4,41,0.0865,0,0,0
4,42,0.0860,0,0,0
4,43,0.0865,0,0,0
4,44,0.0864,0,0,0
4,45,0.0845,0,0,0
4,46,0.0872,0,0,0
4,47,0.0854,0,0,0
4,48,0.0830,0,0,0
4,49,0.0805,0,0,0
4,50,0.0860,0,0,0
4,51,0.0895,0,0,0
4,52,0.0865,0,0,0
4,53,0.0837,0,0,0
4,54,0.0846,0,0,0
4,55,0.0843,0,0,0
4,56,0.0842,0,0,0
4,57,0.0869,0,0,0
4,58,0.0855,0,0,0
4,59,0.0865,0,0,0
4,60,0.0857,0,0,0
4,61,0.0810,0,0,0
4,62,0.0871,0,0,0
4,63,0.0864,0,0,0
4,64,0.0855,0,0,0
4,65,0.0830,0,0,0
4,66,0.0855,0,0,0
4,67,0.0832,0,0,0
4,68,0.0839,0,0,0
4,69,0.0837,0,0,0
4,70,0.0875,0,0,0
4,71,0.0862,0,0,0
4,72,0.0840,0,0,0
4,73,0.0833,0,0,0
4,74,0.0844,0,0,0
4,75,0.0838,0,0,0
4,76,0.0892,0,0,0
4,77,0.0885,0,0,0
4,78,0.0847,0,0,0
4,79,0.0813,0,0,0
4,80,0.0881,0,0,0
4,81,0.0855,0,0,0
4,82,0.0881,0,0,0
4,83,0.0866,0,0,0
4,84,0.0866,0,0,0
4,85,0.0885,0,0,0
4,86,0.0837,0,0,0
4,87,0.0830,0,0,0
4,88,0.0842,0,0,0
4,89,0.0837,0,0,0
4,90,0.0909,0,0,0
4,91,0.0855,0,0,0
4,92,0.0874,0,0,0
4,93,0.0878,0,0,0
4,94,0.0852,0,0,0
4,95,0.0848,0,0,0
4,96,0.0865,0,0,0
4,97,0.0911,0,0,0
4,98,0.0883,0,0,0
4,99,0.0858,0,0,0
4,100,0.0862,0,0,0
4,101,0.0882,0,0,0
4,102,0.0867,0,0,0
4,103,0.0846,0,0,0
4,104,0.0827,0,0,0
4,105,0.0841,0,0,0
4,106,0.0865,0,0,0
4,107,0.0838,0,0,0
4,108,0.0853,0,0,0
4,109,0.0834,0,0,0
4,110,0.0898,0,0,0
4,111,0.0840,0,0,0
4,112,0.0825,0,0,0
4,113,0.0843,0,0,0
4,114,0.0892,0,0,0
4,115,0.0855,0,0,0
4,116,0.0848,0,0,0
4,117,0.0881,0,0,0
4,118,0.0855,0,0,0
4,119,0.0850,0,0,0
